study_accession	sample_accession	experiment_accession	run_accession	experiment_title	fastq_ftp	submitted_ftp
PRJEB34392	SAMEA5952672	ERX3537209	ERR3517543	Illumina HiSeq 4000 sequencing; Single RNA-Seq of synovial tissue macrophages from Rheumatoid Arthritis patients with active disease and in disease remission.		ftp.sra.ebi.ac.uk/vol1/run/ERR351/ERR3517543/HC0732_S29_L007.bam
PRJEB34392	SAMEA5952672	ERX3537209	ERR3517544	Illumina HiSeq 4000 sequencing; Single RNA-Seq of synovial tissue macrophages from Rheumatoid Arthritis patients with active disease and in disease remission.		ftp.sra.ebi.ac.uk/vol1/run/ERR351/ERR3517544/HC0732_S39_L001.bam
PRJEB34392	SAMEA5952673	ERX3537210	ERR3517545	Illumina HiSeq 4000 sequencing; Single RNA-Seq of synovial tissue macrophages from Rheumatoid Arthritis patients with active disease and in disease remission.		ftp.sra.ebi.ac.uk/vol1/run/ERR351/ERR3517545/NaiveRASA146_S20_L007.bam
PRJEB34392	SAMEA5952673	ERX3537210	ERR3517546	Illumina HiSeq 4000 sequencing; Single RNA-Seq of synovial tissue macrophages from Rheumatoid Arthritis patients with active disease and in disease remission.		ftp.sra.ebi.ac.uk/vol1/run/ERR351/ERR3517546/NaiveRASA146_S30_L001.bam
PRJEB34392	SAMEA5952673	ERX3537210	ERR3517547	Illumina HiSeq 4000 sequencing; Single RNA-Seq of synovial tissue macrophages from Rheumatoid Arthritis patients with active disease and in disease remission.		ftp.sra.ebi.ac.uk/vol1/run/ERR351/ERR3517547/NaiveRASA146_S4_L003.bam
PRJEB34392	SAMEA5952674	ERX3537211	ERR3517548	Illumina HiSeq 4000 sequencing; Single RNA-Seq of synovial tissue macrophages from Rheumatoid Arthritis patients with active disease and in disease remission.		ftp.sra.ebi.ac.uk/vol1/run/ERR351/ERR3517548/NaveRASA172_S24_L007.bam
PRJEB34392	SAMEA5952674	ERX3537211	ERR3517549	Illumina HiSeq 4000 sequencing; Single RNA-Seq of synovial tissue macrophages from Rheumatoid Arthritis patients with active disease and in disease remission.		ftp.sra.ebi.ac.uk/vol1/run/ERR351/ERR3517549/NaveRASA172_S34_L001.bam
PRJEB34392	SAMEA5952674	ERX3537211	ERR3517550	Illumina HiSeq 4000 sequencing; Single RNA-Seq of synovial tissue macrophages from Rheumatoid Arthritis patients with active disease and in disease remission.		ftp.sra.ebi.ac.uk/vol1/run/ERR351/ERR3517550/NaveRASA172_S8_L003.bam
PRJEB34392	SAMEA5952675	ERX3537212	ERR3517551	Illumina HiSeq 4000 sequencing; Single RNA-Seq of synovial tissue macrophages from Rheumatoid Arthritis patients with active disease and in disease remission.		ftp.sra.ebi.ac.uk/vol1/run/ERR351/ERR3517551/SA131_S13_L007.bam
PRJEB34392	SAMEA5952676	ERX3537213	ERR3517552	Illumina HiSeq 4000 sequencing; Single RNA-Seq of synovial tissue macrophages from Rheumatoid Arthritis patients with active disease and in disease remission.		ftp.sra.ebi.ac.uk/vol1/run/ERR351/ERR3517552/SA138_S13_L003.bam
PRJEB34392	SAMEA5952677	ERX3537214	ERR3517553	NextSeq 500 sequencing; Single RNA-Seq of synovial tissue macrophages from Rheumatoid Arthritis patients with active disease and in disease remission.		ftp.sra.ebi.ac.uk/vol1/run/ERR351/ERR3517553/SA139_S1_L001.bam
PRJEB34392	SAMEA5952677	ERX3537214	ERR3517554	NextSeq 500 sequencing; Single RNA-Seq of synovial tissue macrophages from Rheumatoid Arthritis patients with active disease and in disease remission.		ftp.sra.ebi.ac.uk/vol1/run/ERR351/ERR3517554/SA139_S1_L002.bam
PRJEB34392	SAMEA5952677	ERX3537214	ERR3517555	NextSeq 500 sequencing; Single RNA-Seq of synovial tissue macrophages from Rheumatoid Arthritis patients with active disease and in disease remission.		ftp.sra.ebi.ac.uk/vol1/run/ERR351/ERR3517555/SA139_S1_L003.bam
PRJEB34392	SAMEA5952677	ERX3537214	ERR3517556	NextSeq 500 sequencing; Single RNA-Seq of synovial tissue macrophages from Rheumatoid Arthritis patients with active disease and in disease remission.		ftp.sra.ebi.ac.uk/vol1/run/ERR351/ERR3517556/SA139_S1_L004.bam
PRJEB34392	SAMEA5952678	ERX3537215	ERR3517557	NextSeq 500 sequencing; Single RNA-Seq of synovial tissue macrophages from Rheumatoid Arthritis patients with active disease and in disease remission.		ftp.sra.ebi.ac.uk/vol1/run/ERR351/ERR3517557/SA220_S4_L001.bam
