study_accession	sample_accession	experiment_accession	run_accession	experiment_title	fastq_ftp	submitted_ftp
PRJEB34392	SAMEA5952683	ERX3537220	ERR3517597	NextSeq 500 sequencing; Single RNA-Seq of synovial tissue macrophages from Rheumatoid Arthritis patients with active disease and in disease remission.		ftp.sra.ebi.ac.uk/vol1/run/ERR351/ERR3517597/SA159_S4_L004.bam
PRJEB34392	SAMEA5952684	ERX3537221	ERR3517600	NextSeq 500 sequencing; Single RNA-Seq of synovial tissue macrophages from Rheumatoid Arthritis patients with active disease and in disease remission.		ftp.sra.ebi.ac.uk/vol1/run/ERR351/ERR3517600/SA168_S2_L001.bam
PRJEB34392	SAMEA5952684	ERX3537221	ERR3517602	NextSeq 500 sequencing; Single RNA-Seq of synovial tissue macrophages from Rheumatoid Arthritis patients with active disease and in disease remission.		ftp.sra.ebi.ac.uk/vol1/run/ERR351/ERR3517602/SA168_S2_L002.bam
PRJEB34392	SAMEA5952684	ERX3537221	ERR3517603	NextSeq 500 sequencing; Single RNA-Seq of synovial tissue macrophages from Rheumatoid Arthritis patients with active disease and in disease remission.		ftp.sra.ebi.ac.uk/vol1/run/ERR351/ERR3517603/SA168_S2_L003.bam
PRJEB34392	SAMEA5952684	ERX3537221	ERR3517606	NextSeq 500 sequencing; Single RNA-Seq of synovial tissue macrophages from Rheumatoid Arthritis patients with active disease and in disease remission.		ftp.sra.ebi.ac.uk/vol1/run/ERR351/ERR3517606/SA168_S2_L004.bam
PRJEB34392	SAMEA5952684	ERX3537221	ERR3517608	NextSeq 500 sequencing; Single RNA-Seq of synovial tissue macrophages from Rheumatoid Arthritis patients with active disease and in disease remission.		ftp.sra.ebi.ac.uk/vol1/run/ERR351/ERR3517608/SA168_S5_L001.bam
PRJEB34392	SAMEA5952684	ERX3537221	ERR3517609	NextSeq 500 sequencing; Single RNA-Seq of synovial tissue macrophages from Rheumatoid Arthritis patients with active disease and in disease remission.		ftp.sra.ebi.ac.uk/vol1/run/ERR351/ERR3517609/SA168_S5_L002.bam
PRJEB34392	SAMEA5952684	ERX3537221	ERR3517611	NextSeq 500 sequencing; Single RNA-Seq of synovial tissue macrophages from Rheumatoid Arthritis patients with active disease and in disease remission.		ftp.sra.ebi.ac.uk/vol1/run/ERR351/ERR3517611/SA168_S5_L003.bam
PRJEB34392	SAMEA5952684	ERX3537221	ERR3517613	NextSeq 500 sequencing; Single RNA-Seq of synovial tissue macrophages from Rheumatoid Arthritis patients with active disease and in disease remission.		ftp.sra.ebi.ac.uk/vol1/run/ERR351/ERR3517613/SA168_S5_L004.bam
PRJEB34392	SAMEA5952685	ERX3537222	ERR3517616	NextSeq 500 sequencing; Single RNA-Seq of synovial tissue macrophages from Rheumatoid Arthritis patients with active disease and in disease remission.		ftp.sra.ebi.ac.uk/vol1/run/ERR351/ERR3517616/SA225_S1_L001.bam
